round,region_bl,stud_sex_bl,school_name_bl,treatment,stud_level_baseline,stud_level_endline,innumeracy_bl,innumeracy_el,numeracy_bl,numeracy_el,learned_new_operation,level_diff,facilitator_id_bl
R8,South East,Male,Senyawe,Default Caregiver Lead,Division,Addition,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM225310756
R8,South East,Female,Phillip Moshotle,Default Caregiver Lead,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910114
R8,South East,Female,Bosele,Default Caregiver Lead,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM225310756
R8,South East,Female,Mafitlhakgosi,Caregiver Choice,Beginner,Subtraction,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM225310756
R8,South East,Female,Phillip Moshotle,Caregiver Choice,Beginner,Addition,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM225310756
R8,South East,Female,Phillip Moshotle,Default Caregiver Lead,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM225310756
R8,Other,Male,Kachikau,Caregiver Choice,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM225310756
R8,Kgatleng,Male,Seingwaeng,Default Caregiver Lead,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM225310756
R8,South East,Female,Phillip Moshotle,Default Caregiver Lead,Addition,,Can at least add,,Cannot divide,,,,CM225310756
R8,South East,Male,Bosele,Default Caregiver Lead,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM225310756
R8,Kgatleng,Female,Mafitlhakgosi,Caregiver Choice,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM225310756
R8,Kgatleng,Male,Raditladi,Default Caregiver Lead,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM225310756
R8,South East,Female,Bosele,Default Caregiver Lead,Beginner,Addition,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM225310756
R8,South East,Male,Phillip Moshotle,Default Caregiver Lead,Addition,,Can at least add,,Cannot divide,,,,CM225310756
R8,North East,Female,Sekakangwe,Caregiver Choice,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM225310756
R8,South East,Male,Mafitlhakgosi,Default Caregiver Lead,Subtraction,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM225310756
R8,North East,Female,Senyawe,Default Caregiver Lead,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM225310756
R8,South East,Female,Phillip Moshotle,Caregiver Choice,Beginner,,Cannot add,,Cannot divide,,,,CM225310756
R8,North East,Male,Senyawe,Default Caregiver Lead,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM225310756
R8,Kgatleng,Female,Raditladi,Default Caregiver Lead,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM225310756
R8,Other,Female,Kachikau,Default Caregiver Lead,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM225310756
R8,Kgatleng,Male,Seingwaeng,Default Caregiver Lead,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM1910114
R8,North East,Male,Senyawe,Caregiver Choice,Subtraction,,Can at least add,,Cannot divide,,,,CM1810027
R8,Kgatleng,Male,Seingwaeng,Default Caregiver Lead,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1810027
R8,Kgatleng,Male,Seingwaeng,Caregiver Choice,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1810027
R8,South East,Male,Mafitlhakgosi,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM1810027
R8,North East,Male,Senyawe,Caregiver Choice,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1810027
R8,North East,Female,Mbalambi,Default Caregiver Lead,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1810027
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Beginner,,Cannot add,,Cannot divide,,,,CM1810027
R8,South East,Male,Bophirima,Caregiver Choice,Beginner,Addition,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1810027
R8,South East,Female,Bophirima,Caregiver Choice,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1810027
R8,South East,Female,Mafitlhakgosi,Caregiver Choice,Beginner,,Cannot add,,Cannot divide,,,,CM1810027
R8,South East,Female,Mafitlhakgosi,Caregiver Choice,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1810027
R8,South East,Female,Mafitlhakgosi,Default Caregiver Lead,Addition,,Can at least add,,Cannot divide,,,,CM1810027
R8,North East,Male,Mbalambi,Default Caregiver Lead,Addition,,Can at least add,,Cannot divide,,,,CM1810027
R8,South East,Male,Phillip Moshotle,Default Caregiver Lead,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910114
R8,North East,Male,Matopi,Default Caregiver Lead,Addition,,Can at least add,,Cannot divide,,,,CM1810027
R8,Kgatleng,Male,Raditladi,Caregiver Choice,Division,Subtraction,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1810027
R8,South East,Male,Bosele,Default Caregiver Lead,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM1810027
R8,Kgatleng,Male,Raditladi,Default Caregiver Lead,Beginner,,Cannot add,,Cannot divide,,,,CM1810027
R8,Kgatleng,Female,Ramogotsi,Caregiver Choice,.r,,,,,,,,CM1810027
R8,Kgatleng,Male,Raditladi,Caregiver Choice,Addition,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM1810027
R8,South East,Female,Bosele,Default Caregiver Lead,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM1910088
R8,Kgatleng,Female,Seingwaeng,Caregiver Choice,Subtraction,,Can at least add,,Cannot divide,,,,CM1910088
R8,North East,Female,Sekakangwe,Caregiver Choice,Multiplication,,Can at least add,,Cannot divide,,,,CM1910088
R8,North East,Male,Senyawe,Default Caregiver Lead,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910088
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910088
R8,North East,Male,Kalakamate,Default Caregiver Lead,Beginner,,Cannot add,,Cannot divide,,,,CM1910088
R8,North East,Male,Ditladi,Caregiver Choice,Addition,,Can at least add,,Cannot divide,,,,CM1910088
R8,South East,Male,Phillip Moshotle,Default Caregiver Lead,Beginner,,Cannot add,,Cannot divide,,,,CM1910088
R8,Kgatleng,Female,Seingwaeng,Caregiver Choice,Beginner,,Cannot add,,Cannot divide,,,,CM1910123
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910088
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1910088
R8,Kgatleng,Female,Raditladi,Caregiver Choice,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM1910088
R8,Kgatleng,Female,Ramogotsi,Caregiver Choice,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910088
R8,Kgatleng,Female,Seingwaeng,Default Caregiver Lead,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910088
R8,South East,Female,Itumeleng,Default Caregiver Lead,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910088
R8,North East,Female,Kalakamate,Caregiver Choice,Beginner,Subtraction,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM1910088
R8,Kgatleng,Male,Ramogotsi,Default Caregiver Lead,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910114
R8,South East,Male,Bosele,Caregiver Choice,Beginner,Subtraction,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM1910088
R8,South East,Male,Mafitlhakgosi,Default Caregiver Lead,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM1910088
R8,North East,Male,Ditladi,Caregiver Choice,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910088
R8,South East,Female,Bosele,Caregiver Choice,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM1910088
R8,South East,Female,Phillip Moshotle,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM1910088
R8,North East,Male,Sekakangwe,Default Caregiver Lead,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910088
R8,South East,Male,Mafitlhakgosi,Default Caregiver Lead,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910088
R8,South East,Female,Bosele,Caregiver Choice,Multiplication,,Can at least add,,Cannot divide,,,,CM1910088
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Beginner,,Cannot add,,Cannot divide,,,,CM1910088
R8,Other,Female,Kavimba,Caregiver Choice,Multiplication,,Can at least add,,Cannot divide,,,,CM1910088
R8,Kgatleng,Male,Seingwaeng,Caregiver Choice,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM1910114
R8,Kgatleng,Male,Seingwaeng,Default Caregiver Lead,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910088
R8,Kgatleng,Female,Seingwaeng,Default Caregiver Lead,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM1910088
R8,Kgatleng,Male,Seingwaeng,Default Caregiver Lead,Beginner,,Cannot add,,Cannot divide,,,,CM1910088
R8,Kgatleng,Female,Ramogotsi,Default Caregiver Lead,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM229682765
R8,South East,Male,Phillip Moshotle,Default Caregiver Lead,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM229682765
R8,North East,Male,Ditladi,Default Caregiver Lead,Multiplication,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM229682765
R8,South East,Male,Bophirima,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM229682765
R8,South East,Male,Phillip Moshotle,Caregiver Choice,Subtraction,,Can at least add,,Cannot divide,,,,CM229682765
R8,South East,Male,Phillip Moshotle,Default Caregiver Lead,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM229682765
R8,South East,Male,Phillip Moshotle,Default Caregiver Lead,Subtraction,,Can at least add,,Cannot divide,,,,CM229682765
R8,South East,Female,Phillip Moshotle,Caregiver Choice,Division,Addition,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM229682765
R8,South East,Male,Bophirima,Default Caregiver Lead,Subtraction,,Can at least add,,Cannot divide,,,,CM229682765
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM229682765
R8,Kgatleng,Male,Segwagwa,Default Caregiver Lead,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM229682765
R8,South East,Female,Mafitlhakgosi,Default Caregiver Lead,Subtraction,,Can at least add,,Cannot divide,,,,CM229682765
R8,Kgatleng,Female,Raditladi,Caregiver Choice,Division,,Can at least add,,Can divide,,,,CM229682765
R8,South East,Female,Phillip Moshotle,Default Caregiver Lead,Division,Subtraction,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM229682765
R8,Other,Female,Matopi,Default Caregiver Lead,Subtraction,,Can at least add,,Cannot divide,,,,CM229682765
R8,Other,Male,Kachikau,Default Caregiver Lead,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM229682765
R8,North East,Female,Senyawe,Caregiver Choice,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1910114
R8,Kgatleng,Female,Seingwaeng,Default Caregiver Lead,Division,,Can at least add,,Can divide,,,,CM229682765
R8,North East,Female,Ditladi,Default Caregiver Lead,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM229682765
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Addition,,Can at least add,,Cannot divide,,,,CM229682765
R8,North East,Male,Ditladi,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM229682765
R8,North East,Female,Sekakangwe,Default Caregiver Lead,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM225105398
R8,South East,Male,Bophirima,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM225105398
R8,South East,Female,Bophirima,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM225105398
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM225105398
R8,South East,Male,Bophirima,Caregiver Choice,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM225105398
R8,Kgatleng,Female,Seingwaeng,Caregiver Choice,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM225105398
R8,North East,Female,Mbalambi,Default Caregiver Lead,Multiplication,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910114
R8,North East,Male,Ditladi,Caregiver Choice,Multiplication,,Can at least add,,Cannot divide,,,,CM225105398
R8,Kgatleng,Female,Phillip Moshotle,Caregiver Choice,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM225105398
R8,North East,Male,Mbalambi,Default Caregiver Lead,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM225105398
R8,South East,Male,Phillip Moshotle,Caregiver Choice,Beginner,Subtraction,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM225105398
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Beginner,,Cannot add,,Cannot divide,,,,CM225105398
R8,Kgatleng,Male,Seingwaeng,Default Caregiver Lead,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM225105398
R8,Other,Female,Kachikau,Caregiver Choice,Division,,Can at least add,,Can divide,,,,CM225105398
R8,South East,Male,Bosele,Default Caregiver Lead,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM225105398
R8,North East,Female,Ditladi,Caregiver Choice,Addition,,Can at least add,,Cannot divide,,,,CM225105398
R8,North East,Female,Mbalambi,Caregiver Choice,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM225105398
R8,Other,Female,Kavimba,Caregiver Choice,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM225105398
R8,South East,Female,Mafitlhakgosi,Default Caregiver Lead,Addition,,Can at least add,,Cannot divide,,,,CM225105398
R8,North East,Male,Matopi,Caregiver Choice,Subtraction,,Can at least add,,Cannot divide,,,,CM225105398
R8,Kgatleng,Male,Seingwaeng,Caregiver Choice,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM225105398
R8,South East,Female,Bophirima,Caregiver Choice,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM225105398
R8,North East,Male,Senyawe,Caregiver Choice,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM225105398
R8,South East,Male,Bosele,Default Caregiver Lead,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM225105398
R8,Kgatleng,Female,Raditladi,Caregiver Choice,Addition,,Can at least add,,Cannot divide,,,,CM225105398
R8,South East,Female,Bosele,Caregiver Choice,Beginner,,Cannot add,,Cannot divide,,,,CM225105398
R8,North East,Female,Ditladi,Caregiver Choice,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM225105398
R8,South East,Female,Phillip Moshotle,Caregiver Choice,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910114
R8,South East,Female,Bophirima,Caregiver Choice,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM225105398
R8,Other,Male,Kachikau,Caregiver Choice,Addition,,Can at least add,,Cannot divide,,,,CM225105398
R8,Other,Male,Kachikau,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM1910127
R8,South East,Male,Phillip Moshotle,Caregiver Choice,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM1910127
R8,Kgatleng,Female,Raditladi,Default Caregiver Lead,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910127
R8,North East,Female,Senyawe,Default Caregiver Lead,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910127
R8,North East,Male,Sekakangwe,Default Caregiver Lead,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910127
R8,South East,Female,Mafitlhakgosi,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM1910114
R8,North East,Female,Ditladi,Caregiver Choice,Addition,,Can at least add,,Cannot divide,,,,CM1910127
R8,South East,Female,Mafitlhakgosi,Caregiver Choice,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910127
R8,South East,Female,Bophirima,Default Caregiver Lead,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910127
R8,Kgatleng,Female,Ramogotsi,Caregiver Choice,Multiplication,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910127
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Subtraction,,Can at least add,,Cannot divide,,,,CM1910127
R8,South East,Male,Mafitlhakgosi,Default Caregiver Lead,Subtraction,,Can at least add,,Cannot divide,,,,CM1910127
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Beginner,,Cannot add,,Cannot divide,,,,CM1910127
R8,South East,Male,Mafitlhakgosi,Default Caregiver Lead,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910127
R8,South East,Female,Phillip Moshotle,Caregiver Choice,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1910127
R8,North East,Female,Senyawe,Caregiver Choice,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910127
R8,Other,Male,Kachikau,Default Caregiver Lead,Beginner,,Cannot add,,Cannot divide,,,,CM1910123
R8,North East,Male,Sekakangwe,Caregiver Choice,Addition,,Can at least add,,Cannot divide,,,,CM1910127
R8,South East,Female,Bosele,Caregiver Choice,Multiplication,,Can at least add,,Cannot divide,,,,CM1910127
R8,Kgatleng,Male,Ramogotsi,Default Caregiver Lead,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM1910127
R8,North East,Female,Senyawe,Caregiver Choice,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910127
R8,South East,Male,Mafitlhakgosi,Caregiver Choice,Subtraction,,Can at least add,,Cannot divide,,,,CM1910127
R8,South East,Female,Bophirima,Caregiver Choice,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM1910127
R8,Kgatleng,Female,Ramogotsi,Caregiver Choice,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910127
R8,North East,Male,Senyawe,Caregiver Choice,Subtraction,,Can at least add,,Cannot divide,,,,CM1910114
R8,Kgatleng,Female,Raditladi,Default Caregiver Lead,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910127
R8,South East,Female,Bosele,Caregiver Choice,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910127
R8,South East,Male,Bophirima,Default Caregiver Lead,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910127
R8,South East,Female,Phillip Moshotle,Caregiver Choice,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910127
R8,South East,Female,Bophirima,Default Caregiver Lead,Subtraction,,Can at least add,,Cannot divide,,,,CM2010173
R8,South East,Female,Mafitlhakgosi,Caregiver Choice,Multiplication,,Can at least add,,Cannot divide,,,,CM2010173
R8,South East,Male,Bophirima,Caregiver Choice,Division,,Can at least add,,Can divide,,,,CM2010173
R8,Kgatleng,Female,Seingwaeng,Caregiver Choice,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910114
R8,South East,Female,Bosele,Default Caregiver Lead,Multiplication,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM2010173
R8,South East,Female,Bosele,Default Caregiver Lead,Addition,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM2010173
R8,South East,Male,Bophirima,Caregiver Choice,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM2010173
R8,Kgatleng,Male,Ramogotsi,Caregiver Choice,Beginner,Addition,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM2010173
R8,South East,Male,Bophirima,Default Caregiver Lead,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM2010173
R8,South East,Female,Mafitlhakgosi,Caregiver Choice,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM2010173
R8,Kgatleng,Female,Ramogotsi,Default Caregiver Lead,Division,,Can at least add,,Can divide,,,,CM2010173
R8,North East,Male,Senyawe,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM2010173
R8,Kgatleng,Male,Raditladi,Default Caregiver Lead,Multiplication,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM2010173
R8,South East,Female,Mafitlhakgosi,Default Caregiver Lead,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM2010173
R8,Kgatleng,Male,Raditladi,Caregiver Choice,Multiplication,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM2010173
R8,Kgatleng,Female,Seingwaeng,Caregiver Choice,Division,,Can at least add,,Can divide,,,,CM2010173
R8,Kgatleng,Male,Raditladi,Default Caregiver Lead,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM2010173
R8,Kgatleng,Male,Seingwaeng,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM2010173
R8,South East,Female,Mafitlhakgosi,Caregiver Choice,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM2010173
R8,South East,Female,Phillip Moshotle,Caregiver Choice,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910114
